Emisor,Mensaje
Amanda ,S’...Luis....ayœdame jaja..qu_ tan raro ser’a que vaya a la oficina del encargado de los labs on toy y le pregunte que si es posible que pudiera hacer mi trabajo de tesis ah’...aunque aœn no s_ si debo yo de ...proponerle algo
Amanda ,Pues yo m‡s seguramente
Amanda ,Nel pastel. Jajaja ahora hice todo bien hasta el momento
Amanda ,Aunque s’ est‡ cansado esto de ir y regresar y luego me duele regresarme jaja ya quiero ir con mi familia 
Amanda ,Ay u.u cuando vuelva te saco jaja
Amanda ,Y perd—n...andaba en mi rancho y luego me mandaron en cami—n desde Pinos para San Luis...y ya ando ac‡ y neta ya me quiero dormir...a ver c—mo me va ma–ana 
Amanda ,Jajaja no estaba borracha! estaba cruda y s’ vot_ todo bien jaja
Amanda ,Jajajaja perd—n.. Me dijeron que pusiera una de salsa y me acuerdo de esa
Amanda ,Eh... Shi? Jaja todos cometen errores
Amanda ,"Mi objetivo es aprender lo que se hace en un laboratorio de biof’sica, y expandir mis conocimientos, ya que no conozco mucho del ‡rea de biolog’a a pesar de que me gusta y pues estar’a padre poder complementar mis conocimientos as’, y pues... Adem‡s de precisamente obtener habilidades en el manejo del instrumental de laboratorio y pues, algo as’... Aprendo sobre lo que necesito para dedicarme a esto, como el problemilla de qu’mica, que me dijo la doc que era de caj—n ah’ y pues agarrar confianza tambi_n, porque realmente, insisto, es algo muy fuera de lo que estoy acostumbrada en todos los sentidos"
Amanda ,"Ya me aburr’ jaja, no s_ si ba–arme"
Amanda ,"Jajaja no s_ programar es mi mayor miedo en la vida y la vida no hace favores, siento que me van a poner a eso y llorar_ sangre"
Amanda ,Perturbador pero te quiero
Amanda ,Jaja cu‡l esencia del d’a que no me ba–_?
Amanda ,"Mira... Esque... S’, tienes que creerme.Tœ y tus mentiras"
Amanda ,Pues tengo muchas cosas que hacer y poco tiempo y desde el mi_rcoles poca energ’a jaja pero ayer y hoy traigo m‡s energ’a
Amanda ,"GraciasÉ PorÉ Comprender o bueno, al menos verlo as’"
Amanda ,"Y de haber sabido me iba a arreglar pero dije ne, ya no alcanzo, ahora estoy con mi cara de desvelada, cansada y con hambre"
Amanda ,Ya te dije qu_ hab’a!! S’ me gust—! En especial m_dica!!
Amanda ,"Era de f’sica, hab’a part’culas y campos, m_dica, astro, estado s—lido y as’"
Amanda ,"No grabes la neta, te divertes much’simo, eso s’ eh!, No no es para hoy pero s’ para esta semana y ten’a que dormir"
Amanda ,"PuesÉ Si quieres puedes intentar juntarte con nosotras somos buena ondaÉ Te convido de mis amigas (no sea grosero, no piense mal)"
Amanda ,"Gracias por tu tiempo Luis beb_ jajaja y tus palabras son sabidur’a para m’É NetaÉ Las mujeres vemos muy diferentes las cosas como dice, como ves entonces en serio fue muy muy bueno lo que dijiste, en planÉ puedo hacerme otra idea o al menos ver m‡s all‡ de m’ versi—n"
Amanda ,Aaay eres bien verbo
Perla,Estoy igual! Ten’a que entregar un proyecto desde la semana pasado porque lo iba a presentar en un p—ster en un coloquio la prox semana pero no he avanzado:c yo creo ya ni hice nada ;c
Perla,Pero gracias a eso pude avanzar solo a mi me dejo jaja
Perla,Jajaja una trata de ser una persona pasiva pero no le sale
Perla,Jaja pero ni termine :c y esoque hasta me dio chanza de avanzarle mas mientras el se iba en su cubiculo
Perla,Nop hace fr’o y las ventas est‡n sola
Perla,"Me encantooooo!!! Hay una especial que me pareci— muy interesante y actual y me gusto en si mucho, quieres que te cuente?"
Perla,Soy una persona muy feliz porque fui a ver teatro de calleeee
Perla,"Jajajaja pero me caen muy bien esos ni–os, y como quiero a algunos debo interesarme por sus hobbies"
Perla,"Oww! El de azulin es Luisin, el peque–o es Leo, el de la camisa como rosa es tu pap‡ y el de verde quien es?"
Perla,Ya veraz que te ir‡ muy bien!!! Ma–ana me cuentas que tal! Va?
Perla,Tu tambi_n tienes que desestresarte!
Perla,Pos te levantas! O si no te ayudo a levantarte! Pero en el suelo no te quedas
Perla,Te cansas de hacer cosas?
Perla,Cuentame de que es el agua en la que te ahogas! Pa echarte un chaleco salvavidas! O hundirme contigo! Amonos por una para ahora si ahogarnos
Perla,De la tos desde hace como dos semanas :c (en cualquier tosida expulso un pulm—n yo creo) y el s‡bado tambi_n del estomago
Perla,Aqu’ andamios! Trabajando solo ayer no porque me enferme bien intenso que ni a la escuela fui
Perla,"El semestre mas pesado de econom’a! Mas conta.... Es mucho, hasta me tuve que salir de ingle"
Perla,Ya se enojo! A alguien lo van a convertir en sapo!
Perla,"Mejor que ellas bajen no? Ah’ que ponernos de acuerdo con Amanda, porque de hecho se entra por econom’a"
Perla,Suuuuuper bien! Entonces echale empe–o! Para que con eso te deslindes de la tesis! Que es mucho show una
Perla,Pero hablame bien del proyecto Luis!
Perla,Tu tambi_n eres un oso! Un oso mentiroso jajaja porque eres muy bueno!
Perla,Ya vez! Esa es tu cura! Una buena dosis de jazz diario
Perla,Bieeeeen! Pero sœper cansada y no se porque D: por estresarme y enojarme tanto yo creo jaja como textrata la vida mi buen Luisin?
Perla,"Y ma–ana debo hacer el examen del mal de ingles que te hab’a dicho, el que te dije que hice en el PUDI al parecer lo reprob_ y ma–ana lo presento otra vez y si no lo paso a repetir el curso"
Perla,Que productivo hombre! Yo estuve de osciosa todo mi d’a solo hice una tarea u.u y fui a preguntar sobre un intercambio con un club y suena interesante!
Perla,Ve al doctor
Perla,Tu sabes que cuando te hago renegar o te molesto lo hago con amors verdad?
Perla,Me ayudas con un sistema de ecuaciones
Perla,Muy bien! Cansadita del fin jojo pero ma–ana entro a las 9 y eso es general jaja
Perla,Que ya pronto comenzara el festival de Jazz
Perla,Yo creo que si! Y te mandar_ todas mis buenas vibras para que sea as’!
Perla,Oyeeeee! Se ve muy bien!!! Y no haz pensado en agregar plantillas para citas? Bueno no se es una idea! Se ve muy chido
Perla,Jaja nooo!! Desde nuestro lugar con todos los demas
Perla,Y bien chidas! Nos dijeron que nos par‡ramos a bailar y sonaba una cumbia rara pero no sab’amos como bailarla y A manda y yo solo nos mov’amos como si fuera cumbia jaja
Perla,"Tu cumplea–os... No se en que dia vivo, no te felicite! No te dije nada! Y es tu cumplea–os! Bueno fue... Eres mi mejor amigo, de las personas mas bonitas y queridas de mi vida y no te dije nada en tu cumplea–os soy muy mala persona y amiga! Perd—n Luisito de mi coraz—n tu sabes que soy la persona mas distra’da de la vida pero eso no es excusa para no haber estado en tu dia especia"
Perla,Oye... Ma–ana estar‡s en tu casa en la ma–ana? Podemos ir a visitarte?
Perla,"Soy una p_sima persona! Me siento muy mal y muy mala gente, ahora si me gane el premio jaja"
Perla,Ya vez! Yo sabia que aun reconoc’a tu letra! Pero porque haces tus recordatorios permanentes?
Perla,Pero porque aburrido Luisin! Eso conto como salida de vacaciones!
Perla,Ah pues si jajaja y tu no eres un hermano celoso? Para mi que si jajaja
Perla,Oh que bien! Que bonito!
Perla,Me dices si me necesitas en algœn momento!
Perla,Muy mal! Como no vas a saber como se pronuncia tu nombre!
Perla,En mi fiesta va a haber de esas fotos? Jaja y tambien quiero pastelitos de unicornios
Perla,Dile que tambien te haga tus pruebas ah veda jaja no cierto
Perla,Ella se va a encargar de mi maquillaje y peinado
Perla,Porque mi cerebro se concentra hasta como que se calienta jaja y el examen es progresivo y no se puede regresar asi que yo creo las primeras y mas f‡ciles las tengo mal porque mi cerebro no cargaba jaja :c
Perla,"Si Luis! Aunque al inicio me perd’ un poco, llegue a lenguas extranjeras xD pero ya estaba por la zona y no fue tan dificil"
Perla,Tu sabes que yo pienso puras cosas buenas y bonitas de ti eres de las personas mas bonitas que tengo en mi vida en este momento 
Perla,Esta vivo! Ya se no inventes! Van a salir que sigue vivo en nuestros corazones
Perla,"Estoy muy muy muuuy dependiente de _l y neta voy a sentir que una parte de la vida se me va, lo se, pero no se como lo voy a confrontar, a parte tambi_n me da miedo lo que le cause a el, no quiero herirlo ni da–arlo, y ambos somos muy d_biles emocionalmente"
Perla,"Pues es que yo ya no me veo en un futuro con el, no creo que funcionemos en una vida juntos, y para mi un noviazgo es una preparaci—n con alguien con quien esperas casarte o formar una vida, si ya no esta ese objetivo ya no tiene caso (mi forma y tambi_n su forma de verlo)"
Perla,Y lo que te quer’a comentar para que me aconsejes es que quiero terminar la relaci—n con Aaron (ahora si de manera definitiva desicion tomada) pero no se como hacerlo porque nunca lo hecho ni cuando ni nada porque no lo quiero lastimar ni me quiero lastimar pero estoy segura de que la relacion ya dio lo que tenia que dar y que _l no es la persona que quiero en mi futuro
Perla,"Y osea no es porque no lo quiera, lo quiero neta muchisimo, lo amo, pero ahora entiendo que eso no lo es todo jaja, he cambiado mucho desde que estoy con el y sinceramente no me gusta en quien me he convertido (he tomado ma–as de el que son negativas) yo quiero ser yo jaja y mucho de eso no va con _l, yo quiero muchas cosas que el no, nuestros gustos no coinciden ni las metas, siento que no crecer_ (aun no se ni para donde pero tengo fe en mi aun jaja), obviamente es un gran apoyo para mi y me hace muy feliz"
Perla,"Pues se supone porque yo le dije toda la semana que hablariamos cuando llegara y ese d’a era pues hoy, pero prefiri— quedarse a comer a venir conmigo cuando ya sabe cuanto me afecta y lo mal que lo estoy pasando y eso que no me ves llorando ahora"
Perla,Si se siente horrible! Sabes todo lo que me he controlado? He tratado de estar bien por 10 d’as sabiendo lo desesperada que soy
Perla,"Pero que fregader? Tuvo mucho tiempo lejos que no lo moleste, no puedo ser un poquito coherente y pensar en los sentimientos de los dem‡s"
Perla,Solo ven’a a animarte con tu trabajo! Tu puedes Luis! Ya casi puedes tocar tus vacaciones
Perla,"Bueno esta semana si un poco, vamos al teatro de calle"
Perla,"No creo que haya sido tiempo perdido, fue bueno y hermoso en muchos aspectos"
Perla,"Jaja siii en economia, estuvo chido chido y nos dieron 500 varos jaha y un libro"
